tau,alpha,sq_errors,sq_errors_old,is_best_tau
14.9,12.725902442312364,10763.610720030441,3186028.773129011,False
15.0,12.66279531953394,10808.150435413998,3199212.528882543,False
15.1,12.600292623921257,10852.355502844957,3212297.228842107,False
15.2,12.538385956338177,10896.229313187534,3225283.8767035105,False
15.3,12.47706706815072,10939.775220108328,3238173.465152065,False
15.4,12.41632785797305,10982.99654031592,3250966.9759335127,False
15.5,12.356160368494654,11025.896553811332,3263665.3799281544,False
15.6,12.296556783386396,11068.478504148095,3276269.6372278356,False
15.7,12.237509424283234,11110.745598701398,3288780.6972156134,False
15.8,12.179010747841641,11152.701008945407,3301199.49864784,False
15.9,12.12105334286948,11194.347870737909,3313526.969738421,False
16.0,12.063629927526485,11235.689284611866,3325764.028245112,False
16.1,12.006733346593315,11276.728316072871,3337911.5815575696,False
16.2,11.950356568807358,11317.46799590216,3349970.526787039,False
16.3,11.894492684263406,11357.9113204645,3361941.7508574924,False
16.4,11.839134901877522,11398.061252020309,3373826.130598011,False
16.5,11.784276546912285,11437.920719041733,3385624.5328363525,False
16.6,11.729911058561813,11477.492616531921,3397337.814493448,False
16.7,11.67603198759489,11516.779806347226,3408966.8226787793,False
16.8,11.6226329940547,11555.7851175219,3420512.3947864827,False
16.9,11.56970784501358,11594.511346594692,3431975.3585920287,False
17.0,11.517250412381339,11632.961257937312,3443356.532349443,False
17.1,11.465254670765718,11671.137584084028,3454656.7248888714,False
17.2,11.413714695383554,11709.043026062363,3465876.73571446,False
17.3,11.362624660021378,11746.680253724451,3477017.355102437,False
17.4,11.31197883504401,11784.051906078686,3488079.364199291,False
17.5,11.261771585450047,11821.160591621667,3499063.535120013,False
17.6,11.211997368972783,11858.008888669821,3509970.6310462668,False
17.7,11.162650734225604,11894.599345690753,3520801.406324463,False
17.8,11.113726318890462,11930.934481634007,3531556.6065636664,False
17.9,11.065218847948488,11967.01678626092,3542236.968733232,False
18.0,11.017123131951486,12002.848720473634,3552843.221260196,False
18.1,10.969434065333376,12038.432716642814,3563376.0841262727,False
18.2,10.922146624760389,12073.771178934054,3573836.2689644797,False
18.3,10.8752558675192,12108.86648363285,3584224.4791553244,False
18.4,10.82875692994181,12143.72097946781,3594541.4099224713,False
18.5,10.782645025866424,12178.336987932247,3604787.7484279457,False
18.6,10.736915445133224,12212.716803603744,3614964.173866709,False
18.7,10.691563552114278,12246.862694461786,3625071.3575606896,False
18.8,10.646584784276603,12280.776902203275,3635109.96305217,False
18.9,10.60197465077762,12314.461642555772,3645080.646196508,False
19.0,10.557728731092103,12347.919105588564,3654984.055254215,False
19.1,10.513842673669911,12381.15145602123,3664820.830982284,False
19.2,10.470312194623597,12414.160833529833,3674591.606724831,False
19.3,10.427133076445255,12446.949353050582,3684297.008502972,False
19.4,10.384301166751808,12479.519105080852,3693937.655103931,False
19.5,10.341812377058039,12511.872155977699,3703514.1581693985,False
19.6,10.299662681576672,12544.010548253573,3713027.1222830573,False
19.7,10.257848116044793,12575.936300869334,3722477.1450573225,False
19.8,10.216364776576,12607.651409524577,3731864.817219275,False
19.9,10.175208818537643,12639.157846945005,3741190.722695721,False
20.0,10.134376455452474,12670.457563167158,3750455.4386974783,False
