tau,alpha,sq_errors,sq_errors_old,is_best_tau
8.8,22.155679327802495,6601.985786140852,3756529.912314144,False
8.9,21.980310034471724,6655.747557266456,3787120.3600846124,False
9.0,21.807494156572705,6709.132381899939,3817496.325301064,False
9.1,21.637170088541673,6762.085433428803,3847626.611620989,False
9.2,21.469288481679442,6814.72358377569,3877577.7191683673,False
9.3,21.30380272377568,6867.063781458925,3907359.291650128,False
9.4,21.140661973314387,6919.091553263844,3936963.093807128,False
9.5,20.97984411917774,6970.769751745223,3966367.988743033,False
9.6,20.821279991030423,7022.117506797133,3995584.8613675684,False
9.7,20.664924218684014,7073.113376578701,4024601.5112732807,False
9.8,20.510768037306985,7123.6833237094515,4053375.8111906783,False
9.9,20.35877723420938,7173.873900989383,4081934.2496629595,False
10.0,20.208896387000916,7223.7163036150105,4110294.57675694,False
10.1,20.061070567959785,7273.196697079998,4138448.920638518,False
10.2,19.915216794019745,7322.351706512558,4166418.1210056464,False
10.3,19.771341136037293,7371.1064811930055,4194159.587798821,False
10.4,19.629428172667783,7419.4880775846,4221688.716145638,False
10.5,19.489427944872105,7467.5212561743,4249019.5947631765,False
10.6,19.351276080319177,7515.249725881884,4276177.094026792,False
10.7,19.214930915220055,7562.684545984555,4303167.506665213,False
10.8,19.08039975367368,7609.732734535672,4329937.925950796,False
10.9,18.947625165497076,7656.484932532432,4356539.926610955,False
11.0,18.816588079453336,7702.918693839525,4382960.73679469,False
11.1,18.68723231052833,7749.058815099606,4409214.465791677,False
11.2,18.5594950682489,7794.972187760265,4435339.17483559,False
11.3,18.43340137114842,7840.533542918013,4461263.585920348,False
11.4,18.308919740876068,7885.721270882218,4486975.403131984,False
11.5,18.18602980533542,7930.586830348076,4512503.906468056,False
11.6,18.064685568665013,7975.145519252477,4537857.800454659,False
11.7,17.94484568065671,8019.417732264763,4563048.689658648,False
11.8,17.82647874296925,8063.42914930642,4588091.185955353,False
11.9,17.709596412061767,8107.105723967054,4612943.156937252,False
12.0,17.594152251114444,8150.498215783664,4637633.484780905,False
12.1,17.480115858804712,8193.601524713526,4662159.267561997,False
12.2,17.36746392486567,8236.433346669457,4686530.574254922,False
12.3,17.256194782055996,8278.948815876027,4710721.876233459,False
12.4,17.14627944130616,8321.150194404454,4734734.460616134,False
12.5,17.037695676965985,8363.045194021113,4758572.715398014,False
12.6,16.93042380946789,8404.62810881663,4782233.393916663,False
12.7,16.824439225201182,8445.921710647046,4805729.453358169,False
12.8,16.71970505528401,8486.96139414175,4829081.033266658,False
12.9,16.616195189435256,8527.741716880371,4852285.036904929,False
13.0,16.513904102646485,8568.19904995531,4875305.259424573,False
