tau,alpha,sq_errors,is_best_tau
13.6,77.79962767307815,35100.28127464965,False
13.7,78.31081393969177,35613.211729944625,False
13.8,78.82589739482374,36131.48711782845,False
13.9,79.34489336252673,36655.089450047155,False
14.0,79.86802811398209,37185.62132169003,False
14.1,80.39584014720886,37722.31714605375,False
14.2,80.92834306675356,38261.19281439225,False
14.3,81.46548937179242,38806.5762310347,False
14.4,82.00738755531131,39356.28326433812,False
14.5,82.55430732754678,39909.176525479,False
14.6,83.10650567959156,40467.99111908371,False
14.7,83.6639153168117,41029.54164631115,False
14.8,84.22647468851567,41598.151568654095,False
14.9,84.79335179412091,42174.63866776039,False
15.0,85.36416897734316,42756.28507596001,False
15.1,85.93982264125869,43342.52234977965,False
15.2,86.52097689376296,43928.132483478235,False
15.3,87.10738718369005,44519.89137668749,False
15.4,87.69924787164783,45119.71001677681,False
15.5,88.29565854416398,45727.84014201067,False
15.6,88.89721407082344,46341.39066004012,False
15.7,89.5035967754258,46958.475938622025,False
15.8,90.11512179810417,47581.04222989852,False
15.9,90.73145125674147,48211.25617672106,False
16.0,91.35177507869308,48852.55228349456,False
16.1,91.97764528130465,49500.791214272045,False
16.2,92.60944048878483,50149.12659253141,False
16.3,93.24713750867558,50804.46569281182,False
16.4,93.88982658203734,51469.61706670449,False
16.5,94.53767626250007,52139.67177860247,False
16.6,95.19170383674134,52810.99869565886,False
16.7,95.851959914757,53484.52837400585,False
16.8,96.51812834911365,54164.106642802784,False
16.9,97.18943719397458,54852.54326920475,False
17.0,97.86565156241534,55550.34610073635,False
17.1,98.54780096614235,56255.639311008126,False
17.2,99.23529833152422,56961.216022142085,False
17.3,99.92839397915138,57675.102669508255,False
17.4,100.6271065740468,58399.36525997508,False
17.5,101.3325731417416,59128.477791850404,False
17.6,102.04566353472367,59862.930571794044,False
17.7,102.76591467489803,60598.327225274195,False
17.8,103.49216253819426,61339.55738376055,False
17.9,104.22533106257745,62089.8104312126,False
18.0,104.965461329629,62845.935637598865,False
18.1,105.71286530852569,63602.762980566076,False
18.2,106.46689439401041,64359.46988425303,False
18.3,107.22564364897295,65124.58180126606,False
18.4,107.99086915396357,65900.2074224473,False
18.5,108.76197536686179,66684.33729280661,False
18.6,109.5387666593295,67477.2108721557,False
18.7,110.32389529805488,68270.1348243883,False
18.8,111.11722904587023,69066.48793518658,False
18.9,111.91745801317461,69870.11613312717,False
19.0,112.72503195079935,70677.19119953299,False
19.1,113.53962570180471,71490.24541628103,False
19.2,114.36102690213727,72304.83702232775,False
19.3,115.18780142562068,73129.14948616002,False
19.4,116.02122229966795,73960.03290769788,False
19.5,116.86263116402237,74796.49459671193,False
19.6,117.71187840153735,75635.40910220066,False
19.7,118.56849257955297,76474.65969106244,False
19.8,119.43151660693174,77325.79126873205,False
19.9,120.30033616969526,78187.97842749784,False
20.0,121.17674779658465,79056.60731419692,False
